ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source
kor03,kor,ipen hanki-nun sensayng-nim kwamok-ul ses kaluchi-si-e,ipen\thanki-nun\tsensayng-nim\tkwamok-ul\tses\tkaluchi-si-e,this\tsemester-TOP\tteacher\tcourse-ACC\tthree\tteach,The teacher teaches three courses this semester.,,none,lee_quantitative_2009[49]
kor04,kor,kun kenmwul-i cenlyek tel sse-ya hay,kun\tkenmwul-i\tcenlyek\ttel\tsse-ya\thay,big\tbuilding-NOM\tenergy\tless\tconsume\tmust,Big building should consume less energy.,,none,lee_quantitative_2009[49]
kor05,kor,minsu-neun sagwa(-leul) meog-goiss-da,minsu-neun\tsagwa(-leul)\tmeog-goiss-da,minsu-TOP\tapple(-LEUL)\teat-PROG-DEC,Minsu is eating apples.,,DEC: declarative,kwon_differential_2008[259]
kor06,kor,yeongmi-ga uli-leul moim-e chodae ha-ess-eo,yeongmi-ga\tuli-leul\tmoim-e\tchodae\tha-ess-eo,yeongmi-GA\tuli-LEUL\tmeeting-LOC\tinvitation\tdo-PST-DEC^INF,Yeongmi invited US to the meeting.,,DEC^INF: declarative informal,kwon_differential_2008[263]
komnzo01,tci,rusa räkumg-si=r zane ä\fiyok/wrth (.) srak=é,rusa\träkumg-si=r\tzane\tä\fiyok/wrth\t(.)\tsrak=é,deer\tattract-NMLZ=PURP\tDEM:PROX\t2|3PL:SBJ>2|3PL:OBJ:NPST:IPFV/make\t(.)\tboy=ERG.NSG,They make this one for attracting deer ... the boys (make it).,,NPST: non-past; NSG: non-singular,dohler_grammar_2018[141]
komnzo02,tci,nabi tuti=n fä fof zu\mirwa/nzrm füsfüs=f,nabi\ttuti=n\tfä\tfof\tzu\mirwa/nzrm\tfüsfüs=f,bamboo\tbranch=LOC\tDIST\tEMPH\t2|3SG:SBJ>3SG.FEM:OBJ:PST:DUR/swing\twind=ERG,The wind was swinging (the lamp) on the bamboo branch.,,EMPH: emphatic; FEM: feminine,dohler_grammar_2018[141]
rap01,rap,he tu'u he haka uru i te 'uha e Ŋumi ki roto ki te hare ki a Oti,he\ttu'u\the\thaka\turu\ti\tte\t'uha\te\tŊumi\tki\troto\tki\tte\thare\tki\ta\tOti,NTR\tarrive\tNTR\tCAUS\tenter\tACC\tART\tchicken\tAG\tNgumi\tto\tinside\tto\tART\thouse\tto\tPROP\tOti,Ngumi arrived and put the chicken in the house for Oti.,,NTR: neutral aspect; AG: agentive; PROP: proper article,kieviet_grammar_2017[382]
rap02,rap,he hakarere e te hānau momoko,he\thakarere\te\tte\thānau\tmomoko,NTR\tleave\tAG\tART\trace\tslender,The 'slender race' left them.,,NTR: neutral aspect; AG: agentive,kieviet_grammar_2017[383]
rap03,rap,he hakaroŋo mai tū taŋata era i tū vehi era,he\thakaroŋo\tmai\ttū\ttaŋata\tera\ti\ttū\tvehi\tera,NTR\tlisten\thither\tDEM\tman\tDIST\tACC\tDEM\tsong\tDIST,The man listened to that song.,,NTR: neutral aspect,kieviet_grammar_2017[379]
rap04,rap,he hakaroŋo atu e tū taŋata era i tū vehi era,he\thakaroŋo\tatu\te\ttū\ttaŋata\tera\ti\ttū\tvehi\tera,NTR\tlisten\taway\tAG\tDEM\tman\tDIST\tACC\tDEM\tsong\tDIST,The man listened to that song.,,NTR: neutral aspect; AG: agentive,kieviet_grammar_2017[379]
rap05,rap,¡ka 'a'aru mai koe i te poki!,¡ka\t'a'aru\tmai\tkoe\ti\tte\tpoki!,IMP\tgrab\thither\t2SG\tACC\tART\tchild,Grab the child!,,none,kieviet_grammar_2017[392]
rap06,rap,¡ka ma'u i a au ki tō'oku kāiŋa!,¡ka\tma'u\ti\ta\tau\tki\ttō'oku\tkāiŋa!,IMP\tcarry\tACC\tPROP\t1SG\tto\tPOSS.1SG.O\thomeland,Carry me to my country!,,PROP: proper article; O: o-class possession,kieviet_grammar_2017[392]
rap07,rap,e ma'u mai 'ā a mātou i te rēkaro nei mā'au,e\tma'u\tmai\t'ā\ta\tmātou\ti\tte\trēkaro\tnei\tmā'au,IPFV\tcarry\thither\tCONT\tPROP\t1PL.EXCL\tACC\tART\tpresent\tDIST\tBEN.2SG.A,We bring this present for you.,,CONT: continuous; PROP: proper article; BEN: benefactive; A: a-class possession,kieviet_grammar_2017[391]
rap08,rap,"he haka hū te ahi, he tunu he kakai","he\thaka\thū\tte\tahi,\the\ttunu\the\tkakai",NTR\tCAUS\tburn\tART\tfire\tNTR\tcook\tNTR\tPL:eat,"They kindled the fire, cooked and ate",,NTR: neutral aspect,kieviet_grammar_2017[395]
rap09,rap,ka hakarē ta'a ŋā poki,ka\thakarē\tta'a\tŋā\tpoki,IMP\tleave\tPOSS.2SG.A\tPL\tchild,Leave your children behind.,,A: a-class possession,kieviet_grammar_2017[392]
rap10,rap,ka haŋa ki ta'a kenu ko Papu'e,ka\thaŋa\tki\tta'a\tkenu\tko\tPapu'e,IMP\tlove\tto\tPOSS.2SG.A\thusband\tPROM\tPapu'e,Love your husband Papu'e.,,A: a-class possession; PROM: prominence marker,kieviet_grammar_2017[392]
rap11,rap,o te rūhia ia te hoho'a nei i to'o,o\tte\trūhia\tia\tte\thoho'a\tnei\ti\tto'o,of\tART\ttourist\tthen\tART\timage\tPROX\tPFV\ttake,(It was) the tourists (who) took this photo.,,none,kieviet_grammar_2017[391]
rap12,rap,paurō te pō ka pere era he rova'a te tara,paurō\tte\tpō\tka\tpere\tera\the\trova'a\tte\ttara,every\tART\tnight\tCNTG\tplay\tDIST\tNTR\tobtain\tART\tmoney,"Every night, when he played, he obtained/won money.",,CNTG: contiguous; NTR: neutral aspect,kieviet_grammar_2017[393]
rap13,rap,he rava'a e rāua i te vārua era o tū repa era,he\trava'a\te\trāua\ti\tte\tvārua\tera\to\ttū\trepa\tera,NTR\tobtain\tAG\t3PL\tACC\tART\tspirit\tDIST\tof\tART\tyoung_man\tDIST,They obtained the spirit of that young man.,,NTR: neutral aspect; AG: agentive,kieviet_grammar_2017[386]
ybh01,ybh,"na, jaba, na mamu=ŋa luŋkhwak pok-ma n-yas-u-n, ...","na,\tjaba,\tna\tmamu=ŋa\tluŋkhwak\tpok-ma\tn-yas-u-n,\t...",this\twhen\tthis\tgirl=ERG\tstone\traise-INF\tNEG-be_able-3.P[PST]-NEG,"This one, when this girl could not raise the stone, ...",,none,schackow_grammar_2015[130]
ikx01,ikx,toɓuo ƙaƙaam-a kʉláɓákᵃ,toɓuo\tƙaƙaam-a\tkʉláɓákᵃ,spear:SEQ\thunter-NOM\tbushbuck:ACC,And the hunter speared the bushbuck.,,SEQ: sequential,schrock_ik_2017[527]
ikx02,ikx,"noo ŋgó-á bɛ́ɗímɛɛ bi-a, ....","noo\tŋgó-á\tbɛ́ɗímɛɛ\tbi-a,\t....",when\twe-ACC\twant:1PL.EXC\tyou-ACC,"When we were looking for you, ...",,none,schrock_ik_2017[528]
ikx03,ikx,Ŋƙíá tɔbɔŋ-a=na,Ŋƙíá\ttɔbɔŋ-a=na,eat:1SG\tmush-NOM=this,I eat this meal mush.,,none,schrock_ik_2017[527]
ikx04,ikx,Ŋƙa tɔbɔŋɔ́-á=na,Ŋƙa\ttɔbɔŋɔ́-á=na,eat:3SG\tmush-ACC=this,She eats this meal mush.,,none,schrock_ik_2017[527]
agr01,agr,hutii a-ina-u-ti daka-sa-tata-hamɨ-i ami-na,hutii\ta-ina-u-ti\tdaka-sa-tata-hamɨ-i\tami-na,1PL\tCOP-PL:IMPFV-REL-SAP\twait.for-ATT-FUT-1SG>2SG.OBJ-DECL\t2SG-ACC,We will wait for you.,,IMPFV: imperfective; REL: relativizer; SAP: speech act participant; ATT: attenuative Aktionsart; DECL: declarative,overall_grammar_2007[444]
agr02,agr,nuwa hapimuku-utʃi-na ɨŋkɨ-a-u,nuwa\thapimuku-utʃi-na\tɨŋkɨ-a-u,women\tbroom-DIM-ACC\tput-IMPFV-REL,The women put their brooms (in baskets).,,DIM: diminutive; IMPFV: imperfective; REL: relativizer,overall_grammar_2007[215]
qub01,qub,hwan-ta kuchi-ta rantikusha,hwan-ta\tkuchi-ta\trantikusha,John-OBJ\tpig-OBJ\the:sold,He sold a/the pig to John.,,none,weber_grammar_1989[11]
qub02,qub,hwan warmi-(ta) ashi-q aywa-ra-n,hwan\twarmi-(ta)\tashi-q\taywa-ra-n,John\twoman(-OBJ)\tsearch-SUB\tgo-PAST-3,John went to search for a wife.,,SUB: substantivizing subordinator; PAST: simple past,weber_grammar_1989[176]
bsk01,bsk,ín-e isé buš-́e i-súmal i-ic-́m-i,ín-e\tisé\tbuš-́e\ti-súmal\ti-ic-́m-i,s/he:DIST-ERG\tthat:X\tcat-GEN\t3SG.X:I-tail-ABS\t3SG.X:I-see-NPRS-3SG.HM,He saw the cat's tail.,,NPRS: non-present; HM: HM-class nouns; X: X-class nouns,yoshioka_reference_2012[52]
bsk02,bsk,jé-Ø/jé-e i-moos-́Ø i-̇t-́č-a+bá-a-Ø,jé-Ø/jé-e\ti-moos-́Ø\ti-̇t-́č-a+bá-a-Ø,I-ABS/I-ERG\t3SG.HM:I-anger-ABS\t3SG.Y:II-do-IPVF-1SG+COP:H-1SG-PRS,I make him angry now.,,HM: HM-class nouns; Y: Y-class nouns; II: type II; +: compounding; H: H-class nouns,yoshioka_reference_2012[248]
bsk03,bsk,qháṭ n-i-̇t i-bišá-as-ar úŋ-e bés c̣háp i-̇t+bá-a-m khól-e dáa úŋ-Ø jé-Ø ámul-ar líp a-̇t-́č+bá-a-Ø,qháṭ\tn-i-̇t\ti-bišá-as-ar\túŋ-e\tbés\tc̣háp\ti-̇t+bá-a-m\tkhól-e\tdáa\túŋ-Ø\tjé-Ø\támul-ar\tlíp\ta-̇t-́č+bá-a-Ø,down\tCP-3SG.X:II-do\t3SG.X:I-throw-INF-DAT\tthou-ERG\twhy\tshooting\t3SG.Y:II-do+COP-2SG-NPRS\there-ESS\tagain\tthou-ABS\tI-ABS\twhere-DAT\tthrowing\t1SG:II-do-IPFV+COP-2SG-PRS,"On his tossing it down, ""Why had you shot here, and where are you throwing me?""",,CP: conjunctive participle; X: X-class nouns; II: type II; I: type I; Y: Y-class nouns; NPRS: non-present; ESS: essive,yoshioka_reference_2012[53]
dzg01,dzg,éskɨɾ tɨɾá=ɪ éɾí=ɾù ɔsɔn dɨɾɔ j-júb,éskɨɾ\ttɨɾá=ɪ\téɾí=ɾù\tɔsɔn\tdɨɾɔ\tj-júb,soldier\tINDF=ERG\tspear=DAT\tside\tin\t3.OBJ-3-pierce,"(The day they killed the prophet Jesus,) a soldier pierced his side with a spear.",,INDF: indefinite,walters_grammar_2015[129]
dzg02,dzg,mɛɾɛ=ɡà d-báz,mɛɾɛ=ɡà\td-báz,3S=ACC\t1-hear,I heard him/her/it.,,none,walters_grammar_2015[134]
dzg03,dzg,wɨní=u(=ɡa) kútùb=u=ɾu kofu-Ø-n-ɾ,wɨní=u(=ɡa)\tkútùb=u=ɾu\tkofu-Ø-n-ɾ,fire=DET(=ACC)\tbook=DET=DAT\tfan-3.OBJ-LV-1,I fanned the fire with the book.,,LV: light verb,walters_grammar_2015[135]
dzg04,dzg,kɔɡʷɔjɛ-a n...m=mà èlíí-ɪ gɔ-Ø-j,kɔɡʷɔjɛ-a\tn...m=mà\tèlíí-ɪ\tgɔ-Ø-j,chicken-P\t2S.POSS=DET\tsparrowhawk=ERG\ttake-3.OBJ-3,A sparrowhawk took your chickens.,,none,walters_grammar_2015[183]
yuk01,yuk,są=ˀi ˀamil-k-il=mil hulk’oˀi=ą,są=ˀi\tˀamil-k-il=mil\thulk’oˀi=ą,SAME=HSY1\tovertake-PNCT-MPSV=FIN\tCoyote=PAT,And they caught up with Coyote.,,PAT: patient; HSY1: hearsay evidential; PNCT: punctual; MPSV: mediopassive; FIN: finite,balodis_yuki_2011[143]
yuk02,yuk,mil=ą ąp liˀ-ąk=k,mil=ą\tąp\tliˀ-ąk=k,deer=PAT\t1SG.AGT\tkill-SEM=DECL,I just killed deer.,,AGT: agent; SEM: semelfactive,balodis_yuki_2011[252]
rmt01,rmt,lah-ed-om kaž-ak,lah-ed-om\tkaž-ak,see-PAST-1SG\tman-INDEF,I saw a man.,,INDEF: indefinite,matras_grammar_2012[129]
rmt02,rmt,lad-ed-om džuwr-ī,lad-ed-om\tdžuwr-ī,see-PAST-1SG\twoman-OBL.F,I saw the woman.,,none,matras_grammar_2012[139]
kxc01,kxc,Kappooli-ʔ Apittu i=ʛoʄʄ-ay,Kappooli-ʔ\tApittu\ti=ʛoʄʄ-ay,Kappoole-NOM\tApitto\t3=pinch.SG.PF[3M],Kappoole pinched Apitto once.,,PF: perfective,orkaydo_grammar_2013[113]
kxc02,kxc,inata-siʔ ana-ʔ piʃaa i=ɗaaʃ-t-i,inata-siʔ\tana-ʔ\tpiʃaa\ti=ɗaaʃ-t-i,girl-DEF.M/F\t1SG.PRO.ACC-DAT\twater\t3=give-3F-PF,The girl gave me water.,,PRO: pronoun; PF: perfective,orkaydo_grammar_2013[118]
kxc03,kxc,harreeta-a χorma ɗiit-ay,harreeta-a\tχorma\tɗiit-ay,donkey-CLF[NOM]\tox\tkick[SG]-PF[3M],It is a donkey that kicked an ox.,,PF: perfective,orkaydo_grammar_2013[115]
kxc04,kxc,harreeta-á χorma ɗiit-ay,harreeta-á\tχorma\tɗiit-ay,donkey-CLF[ACC]\tox\tkick[SG].PF[3M],It is a donkey that an ox kicked.,,PF: perfective,orkaydo_grammar_2013[115]
khv01,khv,qˁe-y-i ɣon-o-s qˁʷelʲ xˁuxˁ-i,qˁe-y-i\tɣon-o-s\tqˁʷelʲ\txˁuxˁ-i,rabbit-EP-ERG\ttree-OBL-GEN1\tbark\tnibble-PST.W,The rabbit nibbled the bark of the tree.,,EP: epenthetic vowel ; GEN1: genitive 1; PST.W: past witnessed,khalilova_grammar_2009[68]
khv02,khv,de uža-la k'ant'a l-ek'ʷ-i,de\tuža-la\tk'ant'a\tl-ek'ʷ-i,1SG.ERG\tboy.OBL-GEN2\tstick(IV).ABS\tIV-hit-PST.W,I hit the boy with the stick.,,GEN2: genitive 2; PST.W: past witnessed; IV: gender for animate and inanimate objects,khalilova_grammar_2009[68]
sci01,sci,derang hathu papaaya=yang asà-poothong,derang\thathu\tpapaaya=yang\tasà-poothong,3PL\tINDEF\tpapaw=ACC\tCP-cut,They cut a papaw.,,INDEF: indefinite; CP: conjunctive participle,nordhoff_grammar_2009[331]
sci02,sci,itthusubbath deram pada jaalang arà-kijja butthul ruuma pada=yang arà-picca-kang,itthusubbath\tderam\tpada\tjaalang\tarà-kijja\tbutthul\truuma\tpada=yang\tarà-picca-kang,therefore\t3PL\tPL\troad\tNON.PAST-make\tcorrect\thouse\tPL=ACC\tNON.PAST-broken-CAUS,"Therefore, they build the street, they demolish many houses.",,none,nordhoff_grammar_2009[331]
sci03,sci,"British Government=dering Malaysia Indonesia, inni nigiri pada samma peegang","British\tGovernment=dering\tMalaysia\tIndonesia,\tinni\tnigiri\tpada\tsamma\tpeegang",British\tGovernment=ABL\tMalaysia\tIndonesia\tPROX\tcountry\tPL\tall\tcatch,"The British Government captured Malaysia and Indonesia, those countries.",,none,nordhoff_grammar_2009[563]
sci04,sci,ithu=kapang lorang=pe leher=yang kithang ahi-poothong,ithu=kapang\tlorang=pe\tleher=yang\tkithang\tahi-poothong,DIST=when\t2PL=POSS\tneck=ACC\t1PL\tIRR=cut,Then we will cut your neck.,,none,nordhoff_grammar_2009[562]
gjr01,gjr,det gel-tu i=m fil-im-ap-karra ngawa pleit-ta,det\tgel-tu\ti=m\tfil-im-ap-karra\tngawa\tpleit-ta,DET\tgirl-ERG\t3SG.S=NF\tfill-TRN-up-CONT\twater\tplate-LOC,The girl is filling up the plate with water.,,NF: non-future; TRN: transitive; CONT: continuative,meakins_case-marking_2008[301]
gjr02,gjr,ngayu garra ged-im tu partiki-walija,ngayu\tgarra\tged-im\ttu\tpartiki-walija,1SG\tFUT\tget-TRN\ttoo\tnut-PAUC,I'm going to gather a big mob of nuts.,,TRN: transitive; PAUC: paucal,meakins_case-marking_2008[296]
gjr03,gjr,i bin teik-im jarrpip najan kapuku-ngku-ma nganta,i\tbin\tteik-im\tjarrpip\tnajan\tkapuku-ngku-ma\tnganta,3SG.S\tNF\ttake-TRN\tcarry\tanother\tsister-ERG-DIS\tDOUBT,And I reckon the other sister carried him now.,,NF: non-future; TRN: transitive; DIS: discourse; DOUBT: doubt,meakins_case-marking_2008[300]
mem01,mem,"nga-y=iny wira-nya, kajana-ju Nguipan-tu","nga-y=iny\twira-nya,\tkajana-ju\tNguipan-tu",CAT-EP=3PL.O\tshoot-PST\tboy-ERG\tpersonal.name-ERG,"He shot them, the policeboy Ngujpan.",,CAT: catalyst particle; EP: epenthesis,agnew_core_2020[74]
opm01,opm,ul-xi-l=a jəxe patrik ox=nuŋ minxa-t pt-el patrik ox na-əpli-n-gwel,ul-xi-l=a\tjəxe\tpatrik\tox=nuŋ\tminxa-t\tpt-el\tpatrik\tox\tna-əpli-n-gwel,go.up-PFV-PER.YESTP=LINK\tthen\tPN\t3SM=O\twait-SIM\tstay-IPFV.PER.TODP\tPN\t3SM\tNEG-come-VIS.YESTP,"We went up. Then, we waited for Patrick but Patrick didn't come.",,PER: personal-factual evidential; YESTP: yesterday past; LINK: prosodic linker; PN: proper noun; SIM: simultaneous; TODP: today past; VIS: visual-sensory evidential,loughnane_grammar_2009[159]
opm02,opm,gin nox tap gwe jox minxa-t pat=a,gin\tnox\ttap\tgwe\tjox\tminxa-t\tpat=a,now\t1S\tpig\tsmall\tDEF\twait-SIM\tstay.IPFV.SG(.PRS)=LINK,I'm waiting for the pig...,,SIM: simultaneous; LINK: prosodic linker,loughnane_grammar_2009[159]
cbv01,cbv,wěm=ka kǎn=diʔ wã=mâw-bip nih=na=wɨt=hĩ,wěm=ka\tkǎn=diʔ\twã=mâw-bip\tnih=na=wɨt=hĩ,1SG=ASS\t3SG.M=OBJ\t1SG=kill-FUT\tsay=DECL=REP.EVID=REM.PST,"I am going to kill him, he said (it is said).",,ASS: assertion; REP.EVID: reported evidential; REM.PST: remote past,bolanos_grammar_2016[194]
cbv02,cbv,jegêʔ=diʔ fǐt fĩ=waj=na,jegêʔ=diʔ\tfǐt\tfĩ=waj=na,clothes=OBJ\t1PL\t1PL=pull=DECL,We sewed clothes.,,none,bolanos_grammar_2016[306]
cbv03,cbv,mâ-naʔ mɨ=diʔ ʔã=t-dah-mâw=na=ka,mâ-naʔ\tmɨ=diʔ\tʔã=t-dah-mâw=na=ka,tree-CL:tree.like\thouse=OBJ\t3SG.M=EVID-break-hit/kill=DECL=ASS,The tree will probably break the house (if it falls onto it).,,ASS: assertion; CL: classifier; EVID: evidential,bolanos_grammar_2016[203]
heb01,heb,ha-seret her'a 'et-ha-milxama,ha-seret\ther'a\t'et-ha-milxama,the-movie\tshowed\tACC-the-war,The movie showed the war.,,none,aissen_differential_2003[453]
heb02,heb,ha-seret her'a milxama,ha-seret\ther'a\tmilxama,the\tmovie\tshowed\twar,The movie showed a war.,,none,aissen_differential_2003[453]
pes01,pes,yeki az ân ketâbhâ-râ xândam,yeki\taz\tân\tketâbhâ-râ\txândam,INDEF\tof\tDEM\tbooks-ACC\tI.read,I read one of these books.,,none,aissen_differential_2003[468]
pes02,pes,çah-e tork nazd-e emperâtur-e rum qâsed-i-râ ferestâd tâ bâ u hamdast çavad,çah-e\ttork\tnazd-e\temperâtur-e\trum\tqâsed-i-râ\tferestâd\ttâ\tbâ\tu\thamdast\tçavad,king-EZ\tTurk\tbefore-EZ\temperor-EZ\tRome\tmessenger-INDEF-ACC\the.sent\tso\twith\thim\tally\the.became,The king of the Turks sent a messenger to the Roman emperor in order to ally with him.,,EZ: ezafe (clitic that occurs between a nominal head and post-head modifiers),aissen_differential_2003[469]
pes03,pes,çah-e tork nazd-e emperâtur-e rum payâm-i ferestâd tâ bâ u hamdast çavad,çah-e\ttork\tnazd-e\temperâtur-e\trum\tpayâm-i\tferestâd\ttâ\tbâ\tu\thamdast\tçavad,king-EZ\tTurk\tbefore-EZ\temperor-EZ\tRome\tmessage-INDEF\the.sent\tso\twith\thim\tally\the.became,The king of the Turks sent a message to the Roman emperor in order to ally with him.,,EZ: ezafe (clitic that occurs between a nominal head and post-head modifiers),aissen_differential_2003[469]
esu01,esu,mikelngu-u-t arnaq assik-aat,mikelngu-u-t\tarnaq\tassik-aat,child-EV-REL.PL\twoman.ABS.SG\tlike-IND.3PL.3SG,The children like the woman.,,EV: epenthetic vowel,miyaoka_grammar_2012[732]
esu02,esu,arna-m mikelngu-u-t assik-ai,arna-m\tmikelngu-u-t\tassik-ai,woman-REL.SG\tchild-EV-REL.PL\tlike-IND.3SG.3PL,The woman likes the children.,,EV: epenthetic vowel,miyaoka_grammar_2012[733]
esu03,esu,wii arna-mi assik-i-unga mikelngur-nek,wii\tarna-mi\tassik-i-unga\tmikelngur-nek,1SG\twoman-LOC.SG\tlike-APS-IND.1SG\tchild-ABM.PL,I (as) a woman like children.,,APS: antipassive; ABM: ablative-modalis case,miyaoka_grammar_2012[788]
esu04,esu,wii arna-mi assik-aatnga mikelngu-u-t,wii\tarna-mi\tassik-aatnga\tmikelngu-u-t,1SG\twoman-LOC.SG\tlike-IND.3PL.1SG\tchild-EV-REL.PL,The children like me (as) a woman.,,EV: epenthetic vowel,miyaoka_grammar_2012[788]
dhi01,dhi,udini iskul-ko jamal-lai-heŋ gaḍi dheɁ-pa-hi.,udini\tiskul-ko\tjamal-lai-heŋ\tgaḍi\tdheɁ-pa-hi.,other.day\tschool-GEN\tchild-PL-DAT\tbus\tbe.struck-do-PST,The other day a bus struck some school children.,,none,king_grammar_2008[88]
dhi02,dhi,nelai ka-seŋ ma-khujalai-su!,nelai\tka-seŋ\tma-khujalai-su!,you\tI-OBJ\tNEG-pester-COL,Don’t pester me!,,COL: collective,king_grammar_2008[88]
dhi03,dhi,paya mansar du:-hoi.,paya\tmansar\tdu:-hoi.,pig\tgarlic\troot-PFV,A pig has started uprooting [your] garlic.,,none,king_grammar_2008[89]
dhi04,dhi,khiya kiya-heŋ gil-khe.,khiya\tkiya-heŋ\tgil-khe.,dog\tchicken-DAT\tchase-IPFV,The dog is chasing the chicken.,,none,king_grammar_2008[89]
